Date/Time;Serial number;GPS longitude [°];GPS latitude [°];Total working hours counter [h];Engine speed [rpm];Engine load [%];Fuel consumption [l/h];Ground speed gearbox [km/h];Ground speed radar [km/h];Coolant temperature [°C];Speed front PTO [rpm];Speed rear PTO [rpm];current gear shift [];Ambient temperature [°C];Parking brake status [];Transverse differential lock status [];All-wheel drive status [];Actual status of creeper []
Mar 1, 2019 6:56:08 AM;A2302900;20.104292;46.0490516;878.77;810;25;4.1;0;0;29;0;0;NA;8.28;1;0;Automatic;NA
Mar 1, 2019 6:56:18 AM;A2302900;20.1043085;46.0490831;878.78;811;26;4.2;0;0;30;0;0;NA;8.28;1;0;Automatic;NA
Mar 1, 2019 6:56:28 AM;A2302900;20.1043182;46.0491092;878.78;811;25;4.15;0;0;30;0;0;NA;8.28;1;0;Automatic;NA
Mar 1, 2019 6:56:38 AM;A2302900;20.1043136;46.0491241;878.78;810;26;3.95;0;0;31;0;0;NA;8.28;1;0;Automatic;NA
Mar 1, 2019 6:56:48 AM;A2302900;20.1042765;46.0491124;878.78;809;25;4;0;0;31;0;0;NA;8.28;1;0;Automatic;NA
Mar 1, 2019 6:56:58 AM;A2302900;20.1042805;46.0490404;878.79;810;25;3.95;0;0;32;0;0;NA;8.28;1;0;Automatic;NA
Mar 1, 2019 6:57:08 AM;A2302900;20.1044739;46.0486188;878.79;809;27;4.3;0;0;32;0;0;NA;8.28;1;0;Automatic;NA
Mar 1, 2019 6:57:18 AM;A2302900;20.1045574;46.0485996;878.79;810;25;3.75;0;0;32;0;0;NA;8.28;1;0;Automatic;NA
Mar 1, 2019 6:57:28 AM;A2302900;20.1046256;46.0486052;878.8;810;24;3.7;0;0;33;0;0;NA;8.28;1;0;Automatic;NA
Mar 1, 2019 6:57:38 AM;A2302900;20.104581;46.0485728;878.8;810;25;3.75;0;0;33;0;0;NA;8.28;1;0;Automatic;NA
Mar 1, 2019 6:57:48 AM;A2302900;20.1045723;46.0485572;878.8;810;24;3.8;0;0;33;0;0;NA;8.28;1;0;Automatic;NA
Mar 1, 2019 6:57:58 AM;A2302900;20.1045386;46.048518;878.8;811;25;3.8;0;0;34;0;0;NA;8.28;1;0;Automatic;NA
Mar 1, 2019 6:58:08 AM;A2302900;20.1045829;46.0485505;878.81;809;24;3.65;0;0;34;0;0;NA;8.28;1;0;Automatic;NA
Mar 1, 2019 6:58:18 AM;A2302900;20.1046144;46.0485586;878.81;812;24;3.8;0;0;34;0;0;NA;8.38;1;0;Automatic;NA
Mar 1, 2019 6:58:28 AM;A2302900;20.1046276;46.0485577;878.81;810;24;3.6;0;0;35;0;0;NA;8.38;1;0;Automatic;NA
Mar 1, 2019 6:58:38 AM;A2302900;20.1046395;46.048543;878.82;811;25;3.75;0;0;35;0;0;NA;8.38;1;0;Automatic;NA
Mar 1, 2019 6:58:48 AM;A2302900;20.1046458;46.0485377;878.82;810;26;4.15;0;0;35;0;0;NA;8.38;1;0;Automatic;NA
Mar 1, 2019 6:58:58 AM;A2302900;20.104651;46.0485508;878.82;811;24;3.6;0;0;36;0;0;NA;8.5;1;0;Automatic;NA
Mar 1, 2019 6:59:08 AM;A2302900;20.1046779;46.0485308;878.82;810;24;3.55;0;0;36;0;0;NA;8.59;1;0;Automatic;NA
Mar 1, 2019 6:59:18 AM;A2302900;20.1046912;46.0485086;878.83;811;24;3.6;0;0;36;0;0;NA;8.59;1;0;Automatic;NA
